AirportCode,AirportName,City,Country
MHH,Changchester Intl,Port Carrie,New Caledonia
JIQ,West Tammyfort Intl,Seanfurt,Switzerland
DOC,Hullport Intl,Barbaraport,Morocco
XCV,Howardborough Intl,East Lori,British Indian Ocean Territory (Chagos Archipelago)
NBX,West Donald Intl,New Tinaview,India
CSV,New Laurenside Intl,Jonesberg,Bermuda
DDB,West Corey Intl,North Megan,Heard Island and McDonald Islands
HCU,Port Gabriellafort Intl,Masseyhaven,Syrian Arab Republic
WIO,West Ryanborough Intl,Aimeebury,Brazil
IGE,Ramoshaven Intl,Lake Brittany,Argentina
VAZ,Bryanside Intl,Rileymouth,New Caledonia
ZWZ,North Jenniferfurt Intl,Kellerstad,Angola
DIX,New Tristanmouth Intl,West Chloefort,Congo
PVI,Lake Mark Intl,Meganbury,Colombia
FUO,East Sallybury Intl,Lake Josephbury,Saint Barthelemy
GBR,Port Tammy Intl,Lauramouth,British Virgin Islands
SSB,Davismouth Intl,Cabreraville,Lesotho
FOL,Rodriguezside Intl,Port Heidi,Cote d'Ivoire
SUQ,Jasmineside Intl,Port Audreyside,Saint Lucia
XFU,Lisaside Intl,North Davidborough,South Georgia and the South Sandwich Islands
