FlightID,FlightNumber,Origin,Destination,AircraftID,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival
F00000,AI292,SSB,XFU,A002,2025-01-01 00:00:00,2025-01-01 00:54:00,2025-01-01 03:00:00,2025-01-01 04:01:00
F00001,AI268,DDB,GBR,A005,2025-01-01 01:00:00,2025-01-01 01:57:00,2025-01-01 04:00:00,2025-01-01 04:12:00
F00002,AI551,VAZ,ZWZ,A009,2025-01-01 02:00:00,2025-01-01 03:03:00,2025-01-01 05:00:00,2025-01-01 06:26:00
F00003,AI166,CSV,NBX,A008,2025-01-01 03:00:00,2025-01-01 03:10:00,2025-01-01 06:00:00,2025-01-01 06:39:00
F00004,AI536,SSB,SUQ,A003,2025-01-01 04:00:00,2025-01-01 04:13:00,2025-01-01 07:00:00,2025-01-01 07:19:00
F00005,AI749,FOL,NBX,A009,2025-01-01 05:00:00,2025-01-01 06:09:00,2025-01-01 08:00:00,2025-01-01 09:22:00
F00006,AI504,XFU,SUQ,A003,2025-01-01 06:00:00,2025-01-01 06:13:00,2025-01-01 09:00:00,2025-01-01 09:15:00
F00007,AI378,SUQ,PVI,A009,2025-01-01 07:00:00,2025-01-01 07:49:00,2025-01-01 10:00:00,2025-01-01 11:03:00
F00008,AI358,PVI,WIO,A009,2025-01-01 08:00:00,2025-01-01 08:19:00,2025-01-01 11:00:00,2025-01-01 12:15:00
F00009,AI547,NBX,DDB,A007,2025-01-01 09:00:00,2025-01-01 09:29:00,2025-01-01 12:00:00,2025-01-01 12:53:00
F00010,AI875,XFU,XCV,A009,2025-01-01 10:00:00,2025-01-01 10:31:00,2025-01-01 13:00:00,2025-01-01 14:29:00
F00011,AI892,GBR,CSV,A004,2025-01-01 11:00:00,2025-01-01 12:00:00,2025-01-01 14:00:00,2025-01-01 15:12:00
F00012,AI464,SUQ,NBX,A001,2025-01-01 12:00:00,2025-01-01 12:46:00,2025-01-01 15:00:00,2025-01-01 16:26:00
F00013,AI724,DDB,FUO,A002,2025-01-01 13:00:00,2025-01-01 13:33:00,2025-01-01 16:00:00,2025-01-01 16:57:00
F00014,AI435,XFU,FOL,A006,2025-01-01 14:00:00,2025-01-01 14:16:00,2025-01-01 17:00:00,2025-01-01 18:26:00
F00015,AI192,FUO,PVI,A001,2025-01-01 15:00:00,2025-01-01 15:34:00,2025-01-01 18:00:00,2025-01-01 18:31:00
F00016,AI414,JIQ,CSV,A003,2025-01-01 16:00:00,2025-01-01 16:34:00,2025-01-01 19:00:00,2025-01-01 19:28:00
F00017,AI130,HCU,JIQ,A002,2025-01-01 17:00:00,2025-01-01 17:22:00,2025-01-01 20:00:00,2025-01-01 21:39:00
F00018,AI604,GBR,IGE,A002,2025-01-01 18:00:00,2025-01-01 19:08:00,2025-01-01 21:00:00,2025-01-01 21:23:00
F00019,AI111,XFU,GBR,A004,2025-01-01 19:00:00,2025-01-01 19:11:00,2025-01-01 22:00:00,2025-01-01 23:35:00
F00020,AI880,VAZ,SUQ,A004,2025-01-01 20:00:00,2025-01-01 20:48:00,2025-01-01 23:00:00,2025-01-01 23:16:00
F00021,AI356,FOL,DOC,A005,2025-01-01 21:00:00,2025-01-01 21:49:00,2025-01-02 00:00:00,2025-01-02 00:58:00
F00022,AI307,DDB,ZWZ,A002,2025-01-01 22:00:00,2025-01-01 22:33:00,2025-01-02 01:00:00,2025-01-02 01:50:00
F00023,AI880,MHH,XCV,A007,2025-01-01 23:00:00,2025-01-01 23:56:00,2025-01-02 02:00:00,2025-01-02 02:36:00
F00024,AI507,JIQ,XCV,A005,2025-01-02 00:00:00,2025-01-02 00:34:00,2025-01-02 03:00:00,2025-01-02 03:40:00
F00025,AI495,JIQ,GBR,A008,2025-01-02 01:00:00,2025-01-02 01:27:00,2025-01-02 04:00:00,2025-01-02 04:15:00
F00026,AI546,NBX,HCU,A001,2025-01-02 02:00:00,2025-01-02 02:47:00,2025-01-02 05:00:00,2025-01-02 05:25:00
F00027,AI894,HCU,SSB,A001,2025-01-02 03:00:00,2025-01-02 03:35:00,2025-01-02 06:00:00,2025-01-02 07:13:00
F00028,AI750,FUO,JIQ,A006,2025-01-02 04:00:00,2025-01-02 04:23:00,2025-01-02 07:00:00,2025-01-02 07:47:00
F00029,AI740,XFU,MHH,A000,2025-01-02 05:00:00,2025-01-02 05:18:00,2025-01-02 08:00:00,2025-01-02 09:09:00
F00030,AI789,HCU,SUQ,A000,2025-01-02 06:00:00,2025-01-02 06:19:00,2025-01-02 09:00:00,2025-01-02 10:30:00
F00031,AI498,XCV,DOC,A003,2025-01-02 07:00:00,2025-01-02 07:30:00,2025-01-02 10:00:00,2025-01-02 10:42:00
F00032,AI813,SSB,FUO,A005,2025-01-02 08:00:00,2025-01-02 09:01:00,2025-01-02 11:00:00,2025-01-02 12:12:00
F00033,AI942,PVI,WIO,A006,2025-01-02 09:00:00,2025-01-02 09:26:00,2025-01-02 12:00:00,2025-01-02 12:20:00
F00034,AI139,IGE,SUQ,A003,2025-01-02 10:00:00,2025-01-02 11:01:00,2025-01-02 13:00:00,2025-01-02 13:22:00
F00035,AI696,VAZ,WIO,A005,2025-01-02 11:00:00,2025-01-02 11:15:00,2025-01-02 14:00:00,2025-01-02 15:14:00
F00036,AI576,GBR,FOL,A006,2025-01-02 12:00:00,2025-01-02 12:25:00,2025-01-02 15:00:00,2025-01-02 15:39:00
F00037,AI463,DDB,DIX,A009,2025-01-02 13:00:00,2025-01-02 13:57:00,2025-01-02 16:00:00,2025-01-02 16:32:00
F00038,AI949,CSV,CSV,A001,2025-01-02 14:00:00,2025-01-02 14:10:00,2025-01-02 17:00:00,2025-01-02 17:29:00
F00039,AI682,ZWZ,HCU,A005,2025-01-02 15:00:00,2025-01-02 15:28:00,2025-01-02 18:00:00,2025-01-02 18:15:00
F00040,AI229,FOL,XCV,A001,2025-01-02 16:00:00,2025-01-02 16:45:00,2025-01-02 19:00:00,2025-01-02 19:46:00
F00041,AI677,ZWZ,SUQ,A007,2025-01-02 17:00:00,2025-01-02 17:34:00,2025-01-02 20:00:00,2025-01-02 21:33:00
F00042,AI827,FUO,SSB,A009,2025-01-02 18:00:00,2025-01-02 18:59:00,2025-01-02 21:00:00,2025-01-02 21:15:00
F00043,AI385,DIX,CSV,A007,2025-01-02 19:00:00,2025-01-02 20:01:00,2025-01-02 22:00:00,2025-01-02 23:26:00
F00044,AI435,FUO,GBR,A004,2025-01-02 20:00:00,2025-01-02 20:39:00,2025-01-02 23:00:00,2025-01-02 23:36:00
F00045,AI941,VAZ,HCU,A003,2025-01-02 21:00:00,2025-01-02 21:29:00,2025-01-03 00:00:00,2025-01-03 01:33:00
F00046,AI124,FUO,MHH,A006,2025-01-02 22:00:00,2025-01-02 22:29:00,2025-01-03 01:00:00,2025-01-03 01:22:00
F00047,AI507,DOC,HCU,A000,2025-01-02 23:00:00,2025-01-02 23:24:00,2025-01-03 02:00:00,2025-01-03 02:17:00
F00048,AI585,NBX,NBX,A005,2025-01-03 00:00:00,2025-01-03 00:49:00,2025-01-03 03:00:00,2025-01-03 04:02:00
F00049,AI634,HCU,XFU,A005,2025-01-03 01:00:00,2025-01-03 01:42:00,2025-01-03 04:00:00,2025-01-03 05:30:00
F00050,AI238,XCV,NBX,A002,2025-01-03 02:00:00,2025-01-03 02:11:00,2025-01-03 05:00:00,2025-01-03 05:39:00
F00051,AI142,NBX,NBX,A001,2025-01-03 03:00:00,2025-01-03 03:19:00,2025-01-03 06:00:00,2025-01-03 06:10:00
F00052,AI183,DIX,SUQ,A008,2025-01-03 04:00:00,2025-01-03 05:07:00,2025-01-03 07:00:00,2025-01-03 08:37:00
F00053,AI679,FUO,XFU,A004,2025-01-03 05:00:00,2025-01-03 05:42:00,2025-01-03 08:00:00,2025-01-03 09:29:00
F00054,AI985,FOL,CSV,A007,2025-01-03 06:00:00,2025-01-03 06:41:00,2025-01-03 09:00:00,2025-01-03 10:24:00
F00055,AI455,DDB,DOC,A000,2025-01-03 07:00:00,2025-01-03 07:20:00,2025-01-03 10:00:00,2025-01-03 10:13:00
F00056,AI469,ZWZ,XCV,A009,2025-01-03 08:00:00,2025-01-03 09:02:00,2025-01-03 11:00:00,2025-01-03 12:11:00
F00057,AI104,JIQ,WIO,A002,2025-01-03 09:00:00,2025-01-03 09:33:00,2025-01-03 12:00:00,2025-01-03 13:17:00
F00058,AI171,MHH,XCV,A002,2025-01-03 10:00:00,2025-01-03 10:45:00,2025-01-03 13:00:00,2025-01-03 13:26:00
F00059,AI295,DIX,WIO,A008,2025-01-03 11:00:00,2025-01-03 11:21:00,2025-01-03 14:00:00,2025-01-03 15:23:00
