SalesID,DateKey,ProductKey,CustomerKey,StoreKey,SupplierKey,Quantity,UnitCost,UnitPrice,Discount,TotalAmount,CostPrice
1,20241201,82,349,8,20,9,54.6,76.73,5,685.57,491.4
2,20240924,64,127,6,13,8,482.28,588.26,15,4691.08,3858.24
3,20250118,29,293,1,5,8,334.51,372.67,15,2966.36,2676.08
4,20241206,49,39,4,13,7,475.12,537.79,15,3749.53,3325.84
5,20241018,87,296,9,18,8,141.29,177.02,15,1401.16,1130.32
6,20240624,17,302,2,3,4,177.81,246.57,10,976.28,711.24
7,20250204,97,472,2,1,6,367.42,432.19,5,2588.14,2204.52
8,20250311,100,494,5,17,5,19.26,27.94,5,134.7,96.3
9,20250309,74,411,10,11,3,56.01,73.86,0,221.58,168.03
10,20250330,34,279,10,8,8,480.49,685.92,10,5477.36,3843.92
11,20250403,19,312,5,14,4,374.94,465.06,0,1860.24,1499.76
12,20250223,73,465,3,3,8,242.39,315.38,0,2523.04,1939.12
13,20240619,12,100,2,19,6,70.45,92.42,5,549.52,422.7
14,20240820,34,55,4,3,6,480.49,696.98,5,4176.88,2882.94
15,20250319,35,106,2,17,2,154.41,207.73,0,415.46,308.82
16,20240924,68,64,1,13,5,421.87,531.29,0,2656.45,2109.35
17,20250106,90,375,6,3,5,311.4,371.07,5,1850.35,1557.0
18,20240830,53,212,4,3,8,192.58,258.7,5,2064.6,1540.64
19,20240603,11,136,6,2,3,427.99,578.45,10,1725.35,1283.97
20,20241007,25,384,4,10,9,432.21,647.81,15,5815.29,3889.89
21,20240606,4,179,10,17,6,269.02,391.52,5,2344.12,1614.12
22,20250106,96,107,4,15,9,71.96,96.6,0,869.4,647.64
23,20250325,37,249,1,10,4,424.81,551.26,5,2200.04,1699.24
24,20240820,49,5,4,19,7,475.12,573.31,10,4003.17,3325.84
25,20241215,53,456,10,1,8,192.58,216.95,0,1735.6,1540.64
26,20250430,53,19,5,4,2,192.58,255.15,0,510.3,385.16
27,20241107,38,431,2,11,9,183.58,243.02,15,2172.18,1652.22
28,20250405,27,72,5,19,8,354.42,506.44,0,4051.52,2835.36
29,20241123,26,57,7,16,3,295.43,384.38,15,1138.14,886.29
30,20240909,43,498,6,16,8,485.44,613.13,10,4895.04,3883.52
31,20241211,93,430,8,17,2,42.41,50.57,0,101.14,84.82
32,20240920,38,157,5,2,4,183.58,207.65,15,815.6,734.32
33,20250317,70,181,10,15,6,21.58,26.41,10,148.46,129.48
34,20241016,5,356,1,20,2,324.09,442.47,15,869.94,648.18
35,20250501,11,48,3,4,2,427.99,631.33,5,1257.66,855.98
36,20241103,84,19,8,13,1,400.42,453.79,10,443.79,400.42
37,20240609,2,134,9,3,8,353.44,518.91,5,4146.28,2827.52
38,20250227,91,128,2,13,9,100.61,122.69,10,1094.21,905.49
39,20240825,4,309,2,6,5,269.02,301.96,5,1504.8,1345.1
40,20241209,65,56,3,19,7,393.94,533.79,15,3721.53,2757.58
41,20241105,100,103,5,20,5,19.26,23.69,15,103.45,96.3
42,20240821,24,75,4,18,9,369.91,543.38,0,4890.42,3329.19
43,20250325,20,341,2,5,1,463.8,546.58,5,541.58,463.8
44,20250507,48,267,6,9,1,52.81,71.82,5,66.82,52.81
45,20241225,28,197,6,3,1,28.01,39.28,10,29.28,28.01
46,20240608,90,145,6,15,7,311.4,459.06,15,3198.42,2179.8
47,20240720,99,147,4,14,1,155.36,228.24,5,223.24,155.36
48,20250305,23,500,6,3,1,232.73,289.49,0,289.49,232.73
49,20250213,22,15,5,7,6,471.96,685.48,10,4102.88,2831.76
50,20250222,54,304,5,19,8,181.28,243.24,0,1945.92,1450.24
51,20250312,95,117,7,12,2,343.29,499.42,10,988.84,686.58
52,20241024,52,359,8,10,3,205.16,270.29,0,810.87,615.48
53,20240810,93,168,1,20,4,42.41,62.0,15,233.0,169.64
54,20250121,13,37,10,16,3,72.07,84.19,15,237.57,216.21
55,20241121,68,63,9,7,3,421.87,504.39,0,1513.17,1265.61
56,20240913,31,468,2,2,6,416.83,584.5,5,3502.0,2500.98
57,20250102,34,386,6,18,4,480.49,701.03,5,2799.12,1921.96
58,20240623,93,205,7,3,5,42.41,46.79,5,228.95,212.05
59,20250109,36,45,7,10,3,493.82,579.08,5,1732.24,1481.46
60,20241030,24,74,8,8,7,369.91,496.49,15,3460.43,2589.37
61,20250222,18,403,7,18,2,300.31,394.87,10,779.74,600.62
62,20240710,23,333,9,18,1,232.73,256.99,10,246.99,232.73
63,20240816,91,293,4,16,1,100.61,124.89,0,124.89,100.61
64,20250501,50,209,10,5,3,91.43,115.94,0,347.82,274.29
65,20250116,36,252,3,20,2,493.82,737.49,15,1459.98,987.64
